Processes: 657 total, 2 running, 655 sleeping, 2330 threads 
2023/06/10 02:44:39
Load Avg: 1.84, 1.65, 1.65 
CPU usage: 3.36% user, 7.43% sys, 89.20% idle 
SharedLibs: 933M resident, 133M data, 79M linkedit.
MemRegions: 267631 total, 8214M resident, 389M private, 3231M shared.
PhysMem: 32G used (3430M wired, 578M compressor), 288M unused.
VM: 32T vsize, 3409M framework vsize, 14784(0) swapins, 16256(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
12507  photolibraryd    0.0  03:42.67 2      1   176    12680K 9544K  1372K  12507 1     sleeping *1[30]      0.00000 0.00000    501 260530   470     60467     32363     3634404   2208045   426965     7843    0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12491  ContainerMetadat 0.0  00:01.22 2      1   58     2152K  0B     1076K  12491 1     sleeping *0[11]      0.00000 0.00000    501 22751    227     6579      2393      30800     11276     8966       2       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12488  calaccessd       0.0  00:02.79 2      1   154    4992K  512K   736K   12488 1     sleeping *0[92]      0.00000 0.00000    501 24748    352     6439      3123      91189     28486     21402      2       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12486  dmd              0.0  00:00.95 2      1   79     2384K  65536B 104K   12486 1     sleeping *0[469]     0.00000 0.00000    501 6654     255     2521      978       25509     9818      10964      57      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12485  fileproviderd    0.0  00:00.92 2      1   99     3464K  0B     888K   12485 1     sleeping *0[415]     0.00000 0.00000    501 12030    288     4726      2467      34399     7807      8409       44      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12482  com.apple.geod   0.0  00:00.69 2      1   50     3304K  0B     652K   12482 1     sleeping *0[8]       0.00000 0.00000    205 9955     290     369       244       27461     1165      10217      97      0     0.0   0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
12481  com.apple.geod   0.0  00:01.00 3      1   76     3536K  69632B 4096B  12481 1     sleeping *0[10]      0.00000 0.00000    0   11179    304     797       586       44289     2605      11899      101     0     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
12479  com.apple.geod   0.0  00:02.64 3      1   131    4912K  300K   760K   12479 1     sleeping *0[104]     0.00000 0.00000    501 22473    311     1923      2114      59101     10636     15122      70      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12476  HomeWidget       0.0  00:00.06 3      2/1 59     2300K  0B     0B     12476 1     sleeping *0[1]       0.00000 0.00000    501 3679     337     189       57        1044      411       223        9       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12474  com.apple.Notes. 0.0  00:00.06 4      3/1 60     2556K  0B     0B     12474 1     sleeping *0[1]       0.00000 0.00000    501 4388     357     189       57        960       414       243        8       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12472  StocksWidget     0.0  00:06.07 8      7/3 119    10328K 280K   0B     12472 1     sleeping *0[1]       0.00000 0.00000    501 20654    995     4770      2368      89155     12755     13881      11      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12471  WeatherWidget    0.0  00:03.00 9      7/3 134    9532K  328K   0B     12471 1     sleeping *0[1]       0.00000 0.00000    501 15007    1060    2105      864       58224     5639      5893       38      0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
12470  TipsAppWidget-ma 0.0  00:00.04 3      2/1 55     1924K  0B     0B     12470 1     sleeping *0[1]       0.00000 0.00000    501 3221     304     172       55        703       386       185        5       0     0.0   0      0      shodan             N/A    N/A   N/A   N/A   N/A   N/A  
